Coord	                 ProbeID	Chrom	Start       	End	       miRNA	  Num_Cancers	Cancers	                                                                            Concordance
chr11_45695915_45695916	cg00407866	chr11	45695915	45695916	hsa-mir-7154	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ	All_Hypomethylated
chr19_12648279_12648280	cg00422699	chr19	12648279	12648280	hsa-mir-10395	10	TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD	All_Hypermethylated
chr7_1012067_1012068	cg00431813	chr7	1012067	1012068	hsa-mir-339	4	TCGA-BRCA;TCGA-CHOL;TCGA-KIRP;TCGA-LIHC	All_Hypermethylated
chr20_62551477_62551478	cg00499838	chr20	62551477	62551478	hsa-mir-1-1;hsa-mir-133a-2	7	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LUAD;TCGA-PAAD;TCGA-PRAD	All_Hypermethylated
chr12_54027249_54027250	cg00506343	chr12	54027249	54027250	hsa-mir-615	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD	All_Hypermethylated
chr8_2130062_2130063	cg00535538	chr8	2130062	2130063	hsa-mir-7160	4	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-UCEC	All_Hypomethylated
chr20_62554692_62554693	cg00555025	chr20	62554692	62554693	hsa-mir-1-1;hsa-mir-133a-2	5	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-UCEC	All_Hypomethylated
chr12_54019317_54019318	cg00567703	chr12	54019317	54019318	hsa-mir-615	8	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr11_2133722_2133723	cg00570518	chr11	2133722	2133723	hsa-mir-483	5	TCGA-BRCA;TCGA-COAD;TCGA-LIHC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_142126740_142126741	cg00584485	chr8	142126740	142126741	hsa-mir-4472-1	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr20_62554265_62554266	cg00596687	chr20	62554265	62554266	hsa-mir-1-1;hsa-mir-133a-2	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr18_35950034_35950035	cg00628788	chr18	35950034	35950035	hsa-mir-187;hsa-mir-3929	9	TCGA-BRCA;TCGA-ESCA;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr7_158556696_158556697	cg00635695	chr7	158556696	158556697	hsa-mir-595	4	TCGA-BRCA;TCGA-ESCA;TCGA-LIHC;TCGA-UCEC	All_Hypomethylated
chr1_228446219_228446220	cg00655913	chr1	228446219	228446220	hsa-mir-4666a	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_3279478_3279479	cg00701856	chr1	3279478	3279479	hsa-mir-4251	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr19_49688240_49688241	cg00711496	chr19	49688240	49688241	hsa-mir-5088	6	TCGA-BLCA;TCGA-BRCA;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr1_3134394_3134395	cg00713435	chr1	3134394	3134395	hsa-mir-4251	7	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr3_100023246_100023247	cg00718336	chr3	100023246	100023247	hsa-mir-3921	5	TCGA-BRCA;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr1_148303502_148303503	cg00721572	chr1	148303502	148303503	hsa-mir-5087	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr4_182293420_182293421	cg00737846	chr4	182293420	182293421	hsa-mir-1305	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr18_13611808_13611809	cg00737978	chr18	13611808	13611809	hsa-mir-4526	5	TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-PRAD	All_Hypermethylated
chr7_117020186_117020187	cg00764217	chr7	117020186	117020187	hsa-mir-6132	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr1_3203681_3203682	cg00774867	chr1	3203681	3203682	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_127796308_127796309	cg00780520	chr8	127796308	127796309	hsa-mir-1205;hsa-mir-1206;hsa-mir-1207;hsa-mir-1204	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr16_82627268_82627269	cg00806490	chr16	82627268	82627269	hsa-mir-8058	8	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-LUAD;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr16_2451146_2451147	cg00833562	chr16	2451146	2451147	hsa-mir-6767	3	TCGA-BRCA;TCGA-KIRP;TCGA-UCEC	All_Hypermethylated
chr15_85413691_85413692	cg00834924	chr15	85413691	85413692	hsa-mir-7706	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_2046459_2046460	cg00840694	chr8	2046459	2046460	hsa-mir-7160	7	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-LIHC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_158570274_158570275	cg00841760	chr7	158570274	158570275	hsa-mir-595	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr11_43575611_43575612	cg00847017	chr11	43575611	43575612	hsa-mir-129-2	5	TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-LUAD;TCGA-PAAD	All_Hypermethylated
chr12_112575589_112575590	cg00854817	chr12	112575589	112575590	hsa-mir-1302-1	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr13_24162316_24162317	cg00861695	chr13	24162316	24162317	hsa-mir-2276	5	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_77375394_77375395	cg00871371	chr17	77375394	77375395	hsa-mir-4316	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr9_128233549_128233550	cg00894134	chr9	128233549	128233550	hsa-mir-199b;hsa-mir-3154	7	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ	All_Hypomethylated
chr3_170419452_170419453	cg00894757	chr3	170419452	170419453	hsa-mir-6828	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr1_9151777_9151778	cg00909706	chr1	9151777	9151778	hsa-mir-34a	4	TCGA-BLCA;TCGA-BRCA;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr20_62568878_62568879	cg00938540	chr20	62568878	62568879	hsa-mir-1-1;hsa-mir-133a-2	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_100891264_100891265	cg00941900	chr14	100891264	100891265	hsa-mir-127;hsa-mir-337;hsa-mir-431;hsa-mir-433;hsa-mir-493;hsa-mir-665	13	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_228457811_228457812	cg00948275	chr1	228457811	228457812	hsa-mir-4666a	3	TCGA-BRCA;TCGA-KIRC;TCGA-LUAD	All_Hypermethylated
chr1_44506805_44506806	cg00958225	chr1	44506805	44506806	hsa-mir-5584	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ	All_Hypomethylated
chr17_48722586_48722587	cg00960395	chr17	48722586	48722587	hsa-mir-3185	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr1_179743146_179743147	cg00962913	chr1	179743146	179743147	hsa-mir-12116	5	TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-READ	All_Hypermethylated
chr14_101023159_101023160	cg00989505	chr14	101023159	101023160	hsa-mir-1197;hsa-mir-299;hsa-mir-323a;hsa-mir-329-1;hsa-mir-329-2;hsa-mir-379;hsa-mir-380;hsa-mir-411;hsa-mir-758	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr18_13641736_13641737	cg01022219	chr18	13641736	13641737	hsa-mir-4526	9	TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr14_100851482_100851483	cg01022345	chr14	100851482	100851483	hsa-mir-770;hsa-mir-127;hsa-mir-337;hsa-mir-431;hsa-mir-433;hsa-mir-493;hsa-mir-665	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr8_24955489_24955490	cg01023696	chr8	24955489	24955490	hsa-mir-6841	4	TCGA-BRCA;TCGA-LUAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr15_68807341_68807342	cg01024668	chr15	68807341	68807342	hsa-mir-4312	8	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr19_807340_807341	cg01025800	chr19	807340	807341	hsa-mir-3187;hsa-mir-4745	3	TCGA-BRCA;TCGA-HNSC;TCGA-KIRP	All_Hypermethylated
chr1_3112313_3112314	cg01046951	chr1	3112313	3112314	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr20_63178478_63178479	cg01052879	chr20	63178478	63178479	hsa-mir-124-3	9	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-PAAD;TCGA-READ	All_Hypermethylated
chr1_3404174_3404175	cg01065697	chr1	3404174	3404175	hsa-mir-4251	3	TCGA-BRCA;TCGA-COAD;TCGA-LIHC	All_Hypomethylated
chr1_63327192_63327193	cg01067151	chr1	63327192	63327193	hsa-mir-6068	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr5_93603948_93603949	cg01071459	chr5	93603948	93603949	hsa-mir-2277	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr5_88685360_88685361	cg01080998	chr5	88685360	88685361	hsa-mir-9-2	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr11_1337445_1337446	cg01097384	chr11	1337445	1337446	hsa-mir-6744	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD	All_Hypermethylated
chr14_105856058_105856059	cg01098955	chr14	105856058	105856059	hsa-mir-4507;hsa-mir-4537;hsa-mir-4538;hsa-mir-4539	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3155671_3155672	cg01104489	chr1	3155671	3155672	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr11_45704638_45704639	cg01114033	chr11	45704638	45704639	hsa-mir-7154	8	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_101055266_101055267	cg01119169	chr14	101055266	101055267	hsa-mir-668	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr14_101023312_101023313	cg01132653	chr14	101023312	101023313	hsa-mir-1197;hsa-mir-299;hsa-mir-323a;hsa-mir-329-1;hsa-mir-329-2;hsa-mir-379;hsa-mir-380;hsa-mir-411;hsa-mir-758	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_101072858_101072859	cg01154336	chr14	101072858	101072859	hsa-mir-369;hsa-mir-409;hsa-mir-410;hsa-mir-412;hsa-mir-541;hsa-mir-656	6	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr7_157610422_157610423	cg01172234	chr7	157610422	157610423	hsa-mir-153-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr3_71505261_71505262	cg01186551	chr3	71505261	71505262	hsa-mir-1284	2	TCGA-BRCA;TCGA-PRAD	All_Hypermethylated
chr11_111512943_111512944	cg01192900	chr11	111512943	111512944	hsa-mir-34b;hsa-mir-34c	5	TCGA-BRCA;TCGA-COAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr1_3285294_3285295	cg01196079	chr1	3285294	3285295	hsa-mir-4251	7	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr1_3164514_3164515	cg01203812	chr1	3164514	3164515	hsa-mir-4251	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_105863442_105863443	cg01208318	chr14	105863442	105863443	hsa-mir-4507;hsa-mir-4537;hsa-mir-4538;hsa-mir-4539	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr19_44757678_44757679	cg01220257	chr19	44757678	44757679	hsa-mir-8085	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr4_47837859_47837860	cg01228355	chr4	47837859	47837860	hsa-mir-8053	2	TCGA-BRCA;TCGA-PRAD	All_Hypermethylated
chr7_1914333_1914334	cg01301117	chr7	1914333	1914334	hsa-mir-4655	3	TCGA-BLCA;TCGA-BRCA;TCGA-UCEC	All_Hypermethylated
chr5_88681085_88681086	cg01305186	chr5	88681085	88681086	hsa-mir-9-2	3	TCGA-BRCA;TCGA-ESCA;TCGA-UCEC	All_Hypermethylated
chr5_149430540_149430541	cg01310120	chr5	149430540	149430541	hsa-mir-143;hsa-mir-145	5	TCGA-BRCA;TCGA-ESCA;TCGA-KIRP;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr11_35950186_35950187	cg01311805	chr11	35950186	35950187	hsa-mir-3973	6	TCGA-BLCA;TCGA-BRCA;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD	All_Hypomethylated
chr17_77409760_77409761	cg01320579	chr17	77409760	77409761	hsa-mir-4316	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_128168459_128168460	cg01337813	chr7	128168459	128168460	hsa-mir-129-1	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
