Coord	ProbeID	Chromosome	Start	End	miRNA	Num_Cancers	Cancers	Concordance
chr14_100891264_100891265	cg00941900	chr14	100891264	100891265	hsa-mir-127;hsa-mir-337;hsa-mir-431;hsa-mir-433;hsa-mir-493;hsa-mir-665	13	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48722586_48722587	cg00960395	chr17	48722586	48722587	hsa-mir-3185	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr14_101023159_101023160	cg00989505	chr14	101023159	101023160	hsa-mir-1197;hsa-mir-299;hsa-mir-323a;hsa-mir-329-1;hsa-mir-329-2;hsa-mir-379;hsa-mir-380;hsa-mir-411;hsa-mir-758	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_63327192_63327193	cg01067151	chr1	63327192	63327193	hsa-mir-6068	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr5_93603948_93603949	cg01071459	chr5	93603948	93603949	hsa-mir-2277	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr5_88685360_88685361	cg01080998	chr5	88685360	88685361	hsa-mir-9-2	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr11_1337445_1337446	cg01097384	chr11	1337445	1337446	hsa-mir-6744	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD	All_Hypermethylated
chr14_105856058_105856059	cg01098955	chr14	105856058	105856059	hsa-mir-4507;hsa-mir-4537;hsa-mir-4538;hsa-mir-4539	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_101023312_101023313	cg01132653	chr14	101023312	101023313	hsa-mir-1197;hsa-mir-299;hsa-mir-323a;hsa-mir-329-1;hsa-mir-329-2;hsa-mir-379;hsa-mir-380;hsa-mir-411;hsa-mir-758	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_157610422_157610423	cg01172234	chr7	157610422	157610423	hsa-mir-153-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3164514_3164515	cg01203812	chr1	3164514	3164515	hsa-mir-4251	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_105863442_105863443	cg01208318	chr14	105863442	105863443	hsa-mir-4507;hsa-mir-4537;hsa-mir-4538;hsa-mir-4539	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_128168459_128168460	cg01337813	chr7	128168459	128168460	hsa-mir-129-1	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr20_62568734_62568735	cg01349621	chr20	62568734	62568735	hsa-mir-1-1;hsa-mir-133a-2	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr13_52848943_52848944	cg01382137	chr13	52848943	52848944	hsa-mir-759	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ	All_Hypermethylated
chr5_176629674_176629675	cg01382414	chr5	176629674	176629675	hsa-mir-4281	11	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr17_48733406_48733407	cg01388649	chr17	48733406	48733407	hsa-mir-3185	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr17_48723277_48723278	cg01543654	chr17	48723277	48723278	hsa-mir-3185	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD	All_Hypermethylated
chr17_48570652_48570653	cg01593673	chr17	48570652	48570653	hsa-mir-10a	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD	All_Hypermethylated
chr8_64379816_64379817	cg01716975	chr8	64379816	64379817	hsa-mir-124-2	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr6_31958237_31958238	cg01734628	chr6	31958237	31958238	hsa-mir-1236	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3212551_3212552	cg01800445	chr1	3212551	3212552	hsa-mir-4251	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48719680_48719681	cg01818151	chr17	48719680	48719681	hsa-mir-3185	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr2_53859871_53859872	cg01876338	chr2	53859871	53859872	hsa-mir-3682	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr11_45691496_45691497	cg01904296	chr11	45691496	45691497	hsa-mir-7154	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr11_43581329_43581330	cg01939477	chr11	43581329	43581330	hsa-mir-129-2	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr11_1344362_1344363	cg01998856	chr11	1344362	1344363	hsa-mir-6744	10	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_101046489_101046490	cg02044725	chr14	101046489	101046490	hsa-mir-487b	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48720206_48720207	cg02052915	chr17	48720206	48720207	hsa-mir-3185	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr20_63177683_63177684	cg02065637	chr20	63177683	63177684	hsa-mir-124-3	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr11_122099986_122099987	cg02101355	chr11	122099986	122099987	hsa-let-7a-2;hsa-mir-100;hsa-mir-10526;hsa-mir-125b-1	10	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr22_49615193_49615194	cg02161203	chr22	49615193	49615194	hsa-mir-3667	10	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr3_35743885_35743886	cg02179478	chr3	35743885	35743886	hsa-mir-128-2	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_157574241_157574242	cg02223801	chr7	157574241	157574242	hsa-mir-153-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr15_89367401_89367402	cg02278768	chr15	89367401	89367402	hsa-mir-9-3	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr12_112869943_112869944	cg02305353	chr12	112869943	112869944	hsa-mir-1302-1	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr7_157565194_157565195	cg02306654	chr7	157565194	157565195	hsa-mir-153-2	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypomethylated
chr17_48720402_48720403	cg02340556	chr17	48720402	48720403	hsa-mir-3185	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr8_64377552_64377553	cg02381539	chr8	64377552	64377553	hsa-mir-124-2	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_130490899_130490900	cg02501418	chr7	130490899	130490900	hsa-mir-335	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr4_37244432_37244433	cg02564761	chr4	37244432	37244433	hsa-mir-4801	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr12_57839201_57839202	cg02566627	chr12	57839201	57839202	hsa-mir-26a-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr14_100868245_100868246	cg02577745	chr14	100868245	100868246	hsa-mir-127;hsa-mir-337;hsa-mir-431;hsa-mir-433;hsa-mir-493;hsa-mir-665	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr20_63177536_63177537	cg02650317	chr20	63177536	63177537	hsa-mir-124-3	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr6_34238623_34238624	cg02654940	chr6	34238623	34238624	hsa-mir-6835	10	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_98044626_98044627	cg02658730	chr1	98044626	98044627	hsa-mir-2682	10	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr14_101022151_101022152	cg02691745	chr14	101022151	101022152	hsa-mir-1197;hsa-mir-299;hsa-mir-323a;hsa-mir-329-1;hsa-mir-329-2;hsa-mir-379;hsa-mir-380;hsa-mir-411;hsa-mir-758	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48748009_48748010	cg02721902	chr17	48748009	48748010	hsa-mir-3185	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-UCEC	All_Hypermethylated
chr2_176189578_176189579	cg02746725	chr2	176189578	176189579	hsa-mir-7704	11	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr21_26967820_26967821	cg02800810	chr21	26967820	26967821	hsa-mir-4759	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr1_37317128_37317129	cg02835977	chr1	37317128	37317129	hsa-mir-4255	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr14_101065418_101065419	cg02887623	chr14	101065418	101065419	hsa-mir-369;hsa-mir-409;hsa-mir-410;hsa-mir-412;hsa-mir-541;hsa-mir-656	10	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_3239401_3239402	cg03082523	chr1	3239401	3239402	hsa-mir-4251	12	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr11_1343781_1343782	cg03134809	chr11	1343781	1343782	hsa-mir-6744	13	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_48730947_48730948	cg03161037	chr17	48730947	48730948	hsa-mir-3185	10	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypermethylated
chr1_3141635_3141636	cg03226435	chr1	3141635	3141636	hsa-mir-4251	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_148310364_148310365	cg03242265	chr1	148310364	148310365	hsa-mir-5087	13	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr12_54029782_54029783	cg03255182	chr12	54029782	54029783	hsa-mir-615	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr13_52848712_52848713	cg03315215	chr13	52848712	52848713	hsa-mir-759	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr1_179743605_179743606	cg03340466	chr1	179743605	179743606	hsa-mir-12116	12	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr11_43581415_43581416	cg03365311	chr11	43581415	43581416	hsa-mir-129-2	14	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr8_142120249_142120250	cg03461430	chr8	142120249	142120250	hsa-mir-4472-1	14	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr17_38875028_38875029	cg03547017	chr17	38875028	38875029	hsa-mir-6779	11	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr8_129983877_129983878	cg03598731	chr8	129983877	129983878	hsa-mir-5194	12	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr15_89377687_89377688	cg03766449	chr15	89377687	89377688	hsa-mir-9-3	11	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
