Coord	DMR_idx	Chromosome	Start	End	miRNA	Num_Cancers	Cancers	Concordance
chr15_89909748_89912141	1468;11004;5270;17011;2265;730;3415;10946;7908	chr15	89909748	89912141	hsa-mir-9-3	9	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr19_2250561_2253854	1477;5203;5787;1222;2322;2654;7704;3002;198;5820;334;1883	chr19	2250561	2253854	hsa-mir-4321	12	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-ESCA;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr8_99438942_99440331	1505;2939;3434;1388;4475;1081;2105;1253;311;4958;570;1334;2174;3089	chr8	99438942	99440331	hsa-mir-9903	14	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr3_79815639_79817232	1602;656;1625;2914;2071;725;6952	chr3	79815639	79817232	hsa-mir-3923	7	TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-HNSC;TCGA-LUAD;TCGA-READ	All_Hypermethylated
chr16_85935556_85937496	1692;4385;6777;2320;4793;871;11205;6352;5073;8041	chr16	85935556	85937496	hsa-mir-6774	10	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-GBM;TCGA-HNSC;TCGA-KIRC;TCGA-LUAD;TCGA-LUSC;TCGA-PCPG;TCGA-UCEC	All_Hypomethylated
chr7_127670570_127673038	1705;837;69;4815;554;3417;57;3;1051	chr7	127670570	127673038	hsa-mir-593	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-KIRP;TCGA-LUAD;TCGA-PRAD;TCGA-READ;TCGA-STAD	All_Hypermethylated
chr19_12758416_12759546	1774;2860;3311;889;5737;12062;4844;11676;10153;9570	chr19	12758416	12759546	hsa-mir-10395	10	TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD	All_Hypermethylated
chr18_6413908_6415252	1805;13697;11028;1744;18884	chr18	6413908	6415252	hsa-mir-4317	5	TCGA-BRCA;TCGA-COAD;TCGA-ESCA;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr8_2019935_2021126	1825;1959;6822	chr8	2019935	2021126	hsa-mir-7160	3	TCGA-BRCA;TCGA-LIHC;TCGA-SARC	All_Hypomethylated
chr14_101497583_101500080	1841;2994	chr14	101497583	101500080	hsa-mir-543	2	TCGA-BRCA;TCGA-CESC	All_Hypomethylated
chr1_154164054_154167437	1872;3103;5344;2500;10952;7423;15108;4432;7260	chr1	154164054	154167437	hsa-mir-190b	9	TCGA-BLCA;TCGA-BRCA;TCGA-COAD;TCGA-GBM;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-READ	All_Hypomethylated
chr1_228649442_228652581	1884;4885;3728;1989	chr1	228649442	228652581	hsa-mir-4666a	4	TCGA-BRCA;TCGA-CHOL;TCGA-HNSC;TCGA-LUAD	All_Hypermethylated
chr14_101525784_101528579	1893;6169;220;291;6131;1650	chr14	101525784	101528579	hsa-mir-154;hsa-mir-496;hsa-mir-377	6	TCGA-BRCA;TCGA-CESC;TCGA-LIHC;TCGA-LUSC;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr14_77736734_77738721	1913;1079	chr14	77736734	77738721	hsa-mir-1260a	2	TCGA-BRCA;TCGA-LUAD	All_Hypermethylated
chr5_87967845_87969330	1984;1443;1885;301;2789	chr5	87967845	87969330	hsa-mir-9-2	5	TCGA-BLCA;TCGA-BRCA;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD	All_Hypermethylated
chr3_19188166_19190202	2006;12112;13573	chr3	19188166	19190202	hsa-mir-4791	3	TCGA-BRCA;TCGA-CESC;TCGA-UCEC	All_Hypermethylated
chr1_147781827_147782472	2110;1132;361;911;259;1041;418;8671;5024;8488;3177;3280;320	chr1	147781827	147782472	hsa-mir-5087	13	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-KIRP;TCGA-LUAD;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr17_46799745_46806935	2147;300;3274	chr17	46799745	46806935	hsa-mir-3185	3	TCGA-BRCA;TCGA-CHOL;TCGA-SKCM	All_Hypermethylated
chr1_98510182_98511792	2183;2275	chr1	98510182	98511792	hsa-mir-2682;hsa-mir-137	2	TCGA-BRCA;TCGA-LUAD	All_Hypermethylated
chr17_75282040_75284193	2225;361;820;1614;2426;1261;773	chr17	75282040	75284193	hsa-mir-4316	7	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-KIRP;TCGA-LUAD;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr12_53448085_53448399	2252;777	chr12	53448085	53448399	hsa-mir-6757	2	TCGA-BRCA;TCGA-CESC	All_Hypomethylated
chr5_176045746_176047485	2255;3051;3360;1934;5426;4290;3355	chr5	176045746	176047485	hsa-mir-4281	7	TCGA-BRCA;TCGA-CHOL;TCGA-COAD;TCGA-LUAD;TCGA-PAAD;TCGA-PCPG;TCGA-PRAD	All_Hypermethylated
chr7_157352978_157354054	2280;830;10821;3867;2706;191;1331;5036;6555;4446	chr7	157352978	157354054	hsa-mir-153-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr17_78069191_78069245	2306;3232;1742;916	chr17	78069191	78069245	hsa-mir-1268b	4	TCGA-BRCA;TCGA-CESC;TCGA-KIRP;TCGA-LUAD	All_Hypermethylated
chr12_53457968_53458408	2382;2852;3226;5232;6583;800	chr12	53457968	53458408	hsa-mir-6757	6	TCGA-BRCA;TCGA-CESC;TCGA-KIRP;TCGA-LUAD;TCGA-PRAD;TCGA-UCEC	All_Hypermethylated
chr8_143254408_143255449	2553;1085;745;1471;2659;4386;2390	chr8	143254408	143255449	hsa-mir-4472-1	7	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-LIHC;TCGA-READ;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr1_3139650_3140906	2561;3750;6187;2484;7162;17493;12829;11767	chr1	3139650	3140906	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-UCEC	All_Hypomethylated
chr19_35605636_35607221	2572;673;2057;2003	chr19	35605636	35607221	hsa-mir-6887	4	TCGA-BLCA;TCGA-BRCA;TCGA-CHOL;TCGA-LUSC	All_Hypomethylated
chr6_52008713_52009154	2606;1122;6142;2299;2592;3180;5058;3571;8523	chr6	52008713	52009154	hsa-mir-133b;hsa-mir-206	9	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr7_157368881_157370851	2663;4400	chr7	157368881	157370851	hsa-mir-153-2	2	TCGA-BRCA;TCGA-SARC	All_Hypomethylated
chr7_158362729_158363642	2668;8936;6998;3855;7530;301;2602;6283	chr7	158362729	158363642	hsa-mir-595	8	TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-LUAD;TCGA-PCPG;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr15_79574773_79576298	2717;2048;4368;4331	chr15	79574773	79576298	hsa-mir-184	4	TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-PAAD	All_Hypermethylated
chr20_61150516_61151899	2720;284	chr20	61150516	61151899	hsa-mir-1-1;hsa-mir-133a-2	2	TCGA-BRCA;TCGA-LIHC	All_Hypomethylated
chr1_3141992_3144710	2730;4939;5285;4848;2053;5378;5906	chr1	3141992	3144710	hsa-mir-4251	7	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-UCEC	All_Hypomethylated
chr10_118922194_118923959	2829;7281	chr10	118922194	118923959	hsa-mir-3663	2	TCGA-BRCA;TCGA-COAD	All_Hypermethylated
chr8_128808017_128808554	2879;538;1950;2581;3340;106;1014;4481;1184;8719;9773;203;339;2098;3298;279;2950;15775	chr8	128808017	128808554	hsa-mir-1205;hsa-mir-1206;hsa-mir-1207;hsa-mir-1204	18	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-KIRC;TCGA-KIRP;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr7_157366933_157367462	2914;382;5744;1294;69;935;845;1234	chr7	157366933	157367462	hsa-mir-153-2	8	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-LIHC;TCGA-LUSC;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr7_157340390_157342801	2940;1552;6458;2939;5150;1370;3969;4322;2163;2960	chr7	157340390	157342801	hsa-mir-153-2	10	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-SARC;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr11_1358515_1358675	2950;21198;10867;20051;15877;1549;5256	chr11	1358515	1358675	hsa-mir-6744	7	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD	All_Hypermethylated
chr1_3128175_3130550	3004;2845;8999;2206;651;4408;11962;7738;673	chr1	3128175	3130550	hsa-mir-4251	9	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-READ;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr20_52687007_52687365	3108;7579;7543	chr20	52687007	52687365	hsa-mir-4756	3	TCGA-BRCA;TCGA-CESC;TCGA-UCEC	All_Hypomethylated
chr15_89913423_89915212	3144;5728;2069;6346;1715;1002;1430;373;2032;3509;2426;13098;3536	chr15	89913423	89915212	hsa-mir-9-3	13	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr19_54484823_54485730	3162;944;1360;10781	chr19	54484823	54485730	hsa-mir-935	4	TCGA-BRCA;TCGA-GBM;TCGA-HNSC;TCGA-LUSC	All_Hypermethylated
chr1_147801025_147801789	3220;978;1027;1695;365;2587;1087;2221;1946;2004;272	chr1	147801025	147801789	hsa-mir-5087	11	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-ESCA;TCGA-GBM;TCGA-LUAD;TCGA-PRAD;TCGA-READ;TCGA-SKCM;TCGA-UCEC	All_Hypermethylated
chr8_65285831_65287005	3230;10325;1237;2497;4540;2150;1363;1386;740;2133;15742;2143	chr8	65285831	65287005	hsa-mir-124-2	12	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LUAD;TCGA-LUSC;TCGA-PAAD;TCGA-READ;TCGA-UCEC	All_Hypermethylated
chr7_2328746_2329077	3246;1308;905;1570	chr7	2328746	2329077	hsa-mir-6836	4	TCGA-BRCA;TCGA-CESC;TCGA-SARC;TCGA-UCEC	All_Hypermethylated
chr6_1378238_1380013	3267;21123;9725;2582;5690;16848;2229;8930	chr6	1378238	1380013	hsa-mir-6720	8	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-CHOL;TCGA-ESCA;TCGA-LIHC;TCGA-LUAD;TCGA-UCEC	All_Hypermethylated
chr1_3036358_3039662	3303;5817;2425;7025;2257	chr1	3036358	3039662	hsa-mir-4251	5	TCGA-BLCA;TCGA-BRCA;TCGA-LIHC;TCGA-PCPG;TCGA-UCEC	All_Hypomethylated
chr11_43596529_43597542	3359;4142;9231;3381;9601	chr11	43596529	43597542	hsa-mir-129-2	5	TCGA-BRCA;TCGA-CESC;TCGA-HNSC;TCGA-LUAD;TCGA-PAAD	All_Hypermethylated
chr11_1873757_1874320	3362;14785;4125;1656;1579;2650;925;2240;8893;5921;4026;2235;7544	chr11	1873757	1874320	hsa-mir-4298;hsa-mir-7847	13	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-GBM;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PCPG;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr9_35609485_35609853	3402;10929;5261	chr9	35609485	35609853	hsa-mir-4667	3	TCGA-BRCA;TCGA-CESC;TCGA-KIRP	All_Hypermethylated
chr12_1770715_1773108	3469;3258;4751;897	chr12	1770715	1773108	hsa-mir-3649	4	TCGA-BRCA;TCGA-KIRP;TCGA-PRAD;TCGA-SKCM	All_Hypermethylated
chr7_1953969_1954008	3509;9071;3287;3633;3222	chr7	1953969	1954008	hsa-mir-4655	5	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-KIRP;TCGA-UCEC	All_Hypermethylated
chr1_2999196_2999941	3759;6002;12811;9453;10127;5294;1929;4762;7721;16780;8098	chr1	2999196	2999941	hsa-mir-4251	11	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr1_2994051_2994372	3818;8729;7582;9170;20345;11726;19721;8766	chr1	2994051	2994372	hsa-mir-4251	8	TCGA-BLCA;TCGA-BRCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr8_143234726_143235273	3853;3388;10815;7671;10352;1998;2896;5642;974;8460;9921;18953;13662;1910;2712;5285	chr8	143234726	143235273	hsa-mir-4472-1	16	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-GBM;TCGA-HNSC;TCGA-KIRC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-PRAD;TCGA-READ;TCGA-SARC;TCGA-SKCM;TCGA-UCEC	All_Hypomethylated
chr1_3123054_3124703	3905;5549;5021;2286;1492;2385;7744;23426;2656	chr1	3123054	3124703	hsa-mir-4251	9	TCGA-BLCA;TCGA-BRCA;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUSC;TCGA-PCPG;TCGA-READ;TCGA-UCEC	All_Hypomethylated
chr11_45731476_45732392	3974;8741;9935;12970;6070	chr11	45731476	45732392	hsa-mir-7154	5	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-LIHC;TCGA-SARC	All_Hypomethylated
chr17_75368750_75371764	3977;134;3229;175;275;140;4410;182;3216;575;941	chr17	75368750	75371764	hsa-mir-4316	11	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-COAD;TCGA-ESCA;TCGA-HNSC;TCGA-KIRP;TCGA-LIHC;TCGA-LUSC;TCGA-PRAD;TCGA-READ	All_Hypermethylated
chr14_106320510_106322429	3981;157;9256;1619;528;90;438;1460;6488;1050;3704	chr14	106320510	106322429	hsa-mir-4507;hsa-mir-4537;hsa-mir-4538;hsa-mir-4539	11	TCGA-BLCA;TCGA-BRCA;TCGA-CESC;TCGA-ESCA;TCGA-HNSC;TCGA-LIHC;TCGA-LUAD;TCGA-LUSC;TCGA-READ;TCGA-SARC;TCGA-UCEC	All_Hypomethylated
chr4_47837775_47841314	4006;3079	chr4	47837775	47841314	hsa-mir-8053	2	TCGA-BRCA;TCGA-PRAD	All_Hypermethylated
