miRNA	TCGA-BLCA	TCGA-BRCA	TCGA-CESC	TCGA-CHOL	TCGA-COAD	TCGA-ESCA	TCGA-GBM	TCGA-HNSC	TCGA-KIRC	TCGA-KIRP	TCGA-LIHC	TCGA-LUAD	TCGA-LUSC	TCGA-PAAD	TCGA-PCPG	TCGA-PRAD	TCGA-READ	TCGA-SARC	TCGA-SKCM	TCGA-STAD	TCGA-THYM	TCGA-UCEC
hsa-mir-522	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1
hsa-mir-527	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1
hsa-mir-548f-1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1
hsa-mir-548s	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0
hsa-mir-5571	2	1	2	0	1	1	1	2	1	0	2	0	2	0	1	2	2	1	1	0	0	1
hsa-mir-5581	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1
hsa-mir-5692c-1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1
hsa-mir-593	2	3	3	4	3	4	1	2	1	1	2	4	4	2	0	3	3	0	3	0	0	3
hsa-mir-601	0	1	1	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1
hsa-mir-6132	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1
hsa-mir-646	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1
hsa-mir-650	2	1	2	0	1	1	1	2	1	0	2	0	2	0	1	2	2	1	1	0	0	1
hsa-mir-6516	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1
hsa-mir-663a	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1
hsa-mir-670	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1
hsa-mir-6720	1	1	2	2	2	2	1	1	0	0	1	2	2	2	0	2	2	0	2	0	0	2
hsa-mir-6721	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0
hsa-mir-6757	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1
hsa-mir-6801	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1
hsa-mir-6831	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1
hsa-mir-7150	0	1	1	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1
hsa-mir-7154	2	0	2	0	2	0	2	2	1	0	2	2	2	0	0	0	2	2	0	0	0	0
hsa-mir-7160	3	2	2	0	1	3	0	3	1	0	3	3	3	0	0	3	3	2	0	0	0	3
hsa-mir-7847	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1
hsa-mir-7848	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1
hsa-mir-8055	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1
hsa-mir-8058	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1
hsa-mir-8074	2	2	2	1	2	1	0	2	1	1	1	1	2	1	0	1	1	0	0	0	0	2
hsa-mir-8080	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0
hsa-mir-9-3	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1
