ProbeID	Chromosome	Start	End	Gene	TCGA-BRCA_Status	TCGA-LUSC_Status	Concordance
cg01101178	chr1	2267321	2267322	SKI	Hypermethylated	Hypermethylated	Concordant
cg08863830	chr1	2270589	2270590	SKI	Hypermethylated	Hypermethylated	Concordant
cg01949002	chr1	2272150	2272151	SKI	Hypermethylated	Hypermethylated	Concordant
cg12580943	chr1	2272209	2272210	SKI	Hypermethylated	Hypermethylated	Concordant
cg12473697	chr1	2274331	2274332	SKI	Hypermethylated	Hypermethylated	Concordant
cg24579224	chr1	2274463	2274464	SKI	Hypermethylated	Hypermethylated	Concordant
cg15007228	chr1	2278896	2278897	SKI	Hypermethylated	Hypermethylated	Concordant
cg09888283	chr1	2280085	2280086	SKI	Hypermethylated	Hypermethylated	Concordant
cg13488570	chr1	2290814	2290815	SKI	Hypermethylated	Hypermethylated	Concordant
cg01628067	chr1	2290980	2290981	SKI	Hypermethylated	Hypermethylated	Concordant
cg02737619	chr1	2291001	2291002	SKI	Hypermethylated	Hypermethylated	Concordant
cg09556700	chr1	2299229	2299230	SKI	Hypermethylated	Hypermethylated	Concordant
cg03324138	chr1	2318971	2318972	NA	Hypomethylated	Hypomethylated	Concordant
cg00093522	chr1	2320580	2320581	NA	Hypermethylated	Hypomethylated	Discordant
cg17974515	chr1	2321077	2321078	NA	Hypermethylated	Hypomethylated	Discordant
cg09811127	chr1	2353062	2353063	MORN1;RP4-740C4.5	Hypermethylated	Hypomethylated	Discordant
cg00667048	chr1	2383231	2383232	MORN1	Hypomethylated	Hypomethylated	Concordant
cg12721952	chr1	2406272	2406273	PEX10	Hypermethylated	Hypomethylated	Discordant
cg23928726	chr1	2413559	2413560	PEX10	Hypomethylated	Hypomethylated	Concordant
cg12715395	chr1	2428529	2428530	PLCH2	Hypermethylated	Hypomethylated	Discordant
cg00532449	chr1	2443981	2443982	PLCH2	Hypermethylated	Hypermethylated	Concordant
cg17128799	chr1	2527027	2527028	PANK4	Hypermethylated	Hypomethylated	Discordant
cg27573975	chr1	2532434	2532435	NA	Hypermethylated	Hypomethylated	Discordant
cg03988595	chr1	2552494	2552495	RP3-395M20.8	Hypermethylated	Hypomethylated	Discordant
cg13221681	chr1	2583180	2583181	RP3-395M20.9	Hypomethylated	Hypomethylated	Concordant
cg18932078	chr1	2592668	2592669	MMEL1	Hypomethylated	Hypomethylated	Concordant
cg00492341	chr1	2595511	2595512	MMEL1	Hypomethylated	Hypomethylated	Concordant
cg17843887	chr1	2610920	2610921	MMEL1	Hypermethylated	Hypomethylated	Discordant
cg21162779	chr1	2633559	2633560	MMEL1;RP13-436F16.1	Hypermethylated	Hypomethylated	Discordant
cg04276316	chr1	2640803	2640804	TTC34	Hypomethylated	Hypomethylated	Concordant
cg02328713	chr1	2787789	2787790	TTC34	Hypomethylated	Hypomethylated	Concordant
cg05442408	chr1	2789608	2789609	TTC34	Hypermethylated	Hypermethylated	Concordant
cg12593176	chr1	2791008	2791009	TTC34	Hypomethylated	Hypomethylated	Concordant
cg23984035	chr1	2803299	2803300	NA	Hypomethylated	Hypomethylated	Concordant
cg02894849	chr1	2803451	2803452	NA	Hypomethylated	Hypomethylated	Concordant
cg24074480	chr1	2806450	2806451	NA	Hypomethylated	Hypomethylated	Concordant
cg20136609	chr1	2809258	2809259	NA	Hypomethylated	Hypomethylated	Concordant
cg24312874	chr1	2811380	2811381	NA	Hypomethylated	Hypomethylated	Concordant
cg01004918	chr1	2814805	2814806	RP11-740P5.3	Hypomethylated	Hypomethylated	Concordant
cg04287755	chr1	2815801	2815802	RP11-740P5.3	Hypomethylated	Hypomethylated	Concordant
cg08624093	chr1	2816926	2816927	NA	Hypomethylated	Hypomethylated	Concordant
cg26532664	chr1	2822958	2822959	NA	Hypomethylated	Hypomethylated	Concordant
cg03747657	chr1	2834652	2834653	NA	Hypomethylated	Hypomethylated	Concordant
cg13428681	chr1	2839645	2839646	NA	Hypomethylated	Hypomethylated	Concordant
cg25847506	chr1	2850014	2850015	NA	Hypomethylated	Hypomethylated	Concordant
cg03742273	chr1	2856099	2856100	NA	Hypermethylated	Hypermethylated	Concordant
cg09173636	chr1	2858822	2858823	NA	Hypomethylated	Hypomethylated	Concordant
cg03281194	chr1	2860407	2860408	NA	Hypomethylated	Hypomethylated	Concordant
cg06784198	chr1	2860648	2860649	NA	Hypomethylated	Hypomethylated	Concordant
cg24252695	chr1	2860679	2860680	NA	Hypomethylated	Hypomethylated	Concordant
cg26262033	chr1	2872337	2872338	NA	Hypomethylated	Hypomethylated	Concordant
cg06738239	chr1	2872524	2872525	NA	Hypomethylated	Hypomethylated	Concordant
cg21570843	chr1	2873331	2873332	NA	Hypomethylated	Hypomethylated	Concordant
cg05640655	chr1	2877091	2877092	NA	Hypomethylated	Hypomethylated	Concordant
cg07996580	chr1	2877363	2877364	NA	Hypomethylated	Hypomethylated	Concordant
cg14839809	chr1	2879760	2879761	NA	Hypomethylated	Hypomethylated	Concordant
cg07363144	chr1	2880126	2880127	NA	Hypomethylated	Hypomethylated	Concordant
cg16572957	chr1	2882789	2882790	NA	Hypomethylated	Hypomethylated	Concordant
cg07788537	chr1	2883311	2883312	NA	Hypomethylated	Hypomethylated	Concordant
cg27442613	chr1	2884520	2884521	NA	Hypomethylated	Hypomethylated	Concordant
cg11712991	chr1	2884824	2884825	NA	Hypomethylated	Hypomethylated	Concordant
cg21691065	chr1	2888270	2888271	NA	Hypomethylated	Hypomethylated	Concordant
cg10520226	chr1	2894989	2894990	NA	Hypomethylated	Hypomethylated	Concordant
cg20939830	chr1	2898314	2898315	NA	Hypomethylated	Hypomethylated	Concordant
cg16115688	chr1	2903428	2903429	NA	Hypomethylated	Hypomethylated	Concordant
cg13874287	chr1	2903605	2903606	NA	Hypomethylated	Hypomethylated	Concordant
cg26785499	chr1	2903868	2903869	NA	Hypomethylated	Hypomethylated	Concordant
cg20849957	chr1	2904430	2904431	NA	Hypomethylated	Hypomethylated	Concordant
cg20385983	chr1	2904510	2904511	NA	Hypomethylated	Hypomethylated	Concordant
cg21609624	chr1	2905447	2905448	NA	Hypomethylated	Hypomethylated	Concordant
cg17136696	chr1	2907296	2907297	NA	Hypomethylated	Hypomethylated	Concordant
cg19403456	chr1	2907363	2907364	NA	Hypomethylated	Hypomethylated	Concordant
cg09516210	chr1	2908624	2908625	NA	Hypomethylated	Hypomethylated	Concordant
cg14095607	chr1	2910469	2910470	NA	Hypomethylated	Hypomethylated	Concordant
cg03447366	chr1	2910845	2910846	NA	Hypomethylated	Hypomethylated	Concordant
cg23887776	chr1	2911233	2911234	NA	Hypomethylated	Hypomethylated	Concordant
cg15515265	chr1	2911633	2911634	NA	Hypomethylated	Hypomethylated	Concordant
cg06347582	chr1	2913135	2913136	NA	Hypomethylated	Hypomethylated	Concordant
cg04099793	chr1	2917543	2917544	NA	Hypomethylated	Hypomethylated	Concordant
cg13547132	chr1	2918693	2918694	NA	Hypomethylated	Hypomethylated	Concordant
cg09767550	chr1	2919258	2919259	NA	Hypomethylated	Hypomethylated	Concordant
cg19268708	chr1	2920953	2920954	NA	Hypomethylated	Hypomethylated	Concordant
cg24057775	chr1	2922365	2922366	NA	Hypomethylated	Hypomethylated	Concordant
cg00905419	chr1	2922614	2922615	NA	Hypomethylated	Hypomethylated	Concordant
cg02634762	chr1	2923294	2923295	NA	Hypomethylated	Hypomethylated	Concordant
cg19802390	chr1	2923612	2923613	NA	Hypomethylated	Hypomethylated	Concordant
cg20608032	chr1	2923675	2923676	NA	Hypomethylated	Hypomethylated	Concordant
cg24741158	chr1	2927603	2927604	NA	Hypomethylated	Hypomethylated	Concordant
cg24428184	chr1	2931545	2931546	NA	Hypomethylated	Hypomethylated	Concordant
cg01441699	chr1	2931862	2931863	NA	Hypomethylated	Hypomethylated	Concordant
cg15057138	chr1	2932930	2932931	NA	Hypomethylated	Hypomethylated	Concordant
cg25720825	chr1	2933117	2933118	NA	Hypomethylated	Hypomethylated	Concordant
cg13547712	chr1	2933947	2933948	NA	Hypomethylated	Hypomethylated	Concordant
cg00660693	chr1	2934172	2934173	NA	Hypomethylated	Hypomethylated	Concordant
cg21409829	chr1	2934294	2934295	NA	Hypomethylated	Hypomethylated	Concordant
cg09028711	chr1	2934386	2934387	NA	Hypomethylated	Hypomethylated	Concordant
cg04921646	chr1	2934937	2934938	NA	Hypomethylated	Hypomethylated	Concordant
cg02294281	chr1	2943069	2943070	NA	Hypomethylated	Hypomethylated	Concordant
cg24592500	chr1	2947236	2947237	NA	Hypomethylated	Hypomethylated	Concordant
cg25137787	chr1	2947250	2947251	NA	Hypomethylated	Hypomethylated	Concordant
cg16298813	chr1	2961890	2961891	NA	Hypomethylated	Hypomethylated	Concordant
cg02576892	chr1	2962248	2962249	NA	Hypomethylated	Hypomethylated	Concordant
cg27537199	chr1	2968520	2968521	NA	Hypomethylated	Hypermethylated	Discordant
cg06532546	chr1	2970089	2970090	NA	Hypomethylated	Hypomethylated	Concordant
cg01977798	chr1	2970227	2970228	NA	Hypomethylated	Hypomethylated	Concordant
cg00050294	chr1	2970253	2970254	NA	Hypomethylated	Hypomethylated	Concordant
cg04080530	chr1	2970303	2970304	NA	Hypomethylated	Hypomethylated	Concordant
cg20848343	chr1	2970516	2970517	NA	Hypomethylated	Hypomethylated	Concordant
cg23806549	chr1	2971858	2971859	NA	Hypomethylated	Hypomethylated	Concordant
cg06437747	chr1	2974272	2974273	NA	Hypomethylated	Hypomethylated	Concordant
cg13300670	chr1	2980270	2980271	NA	Hypomethylated	Hypomethylated	Concordant
cg10226013	chr1	2982700	2982701	NA	Hypomethylated	Hypomethylated	Concordant
cg09469812	chr1	2982933	2982934	NA	Hypomethylated	Hypomethylated	Concordant
cg03737787	chr1	2983092	2983093	NA	Hypomethylated	Hypomethylated	Concordant
cg00028507	chr1	3001542	3001543	NA	Hypomethylated	Hypomethylated	Concordant
cg07099084	chr1	3003221	3003222	NA	Hypomethylated	Hypomethylated	Concordant
cg16562486	chr1	3009176	3009177	NA	Hypomethylated	Hypomethylated	Concordant
cg14653390	chr1	3013751	3013752	NA	Hypomethylated	Hypomethylated	Concordant
cg23260554	chr1	3017933	3017934	NA	Hypomethylated	Hypomethylated	Concordant
cg17025560	chr1	3019713	3019714	NA	Hypomethylated	Hypomethylated	Concordant
cg14093144	chr1	3019747	3019748	NA	Hypomethylated	Hypomethylated	Concordant
cg02828779	chr1	3020021	3020022	ACTRT2	Hypomethylated	Hypomethylated	Concordant
cg05348888	chr1	3020714	3020715	ACTRT2	Hypomethylated	Hypomethylated	Concordant
cg24669191	chr1	3022082	3022083	ACTRT2	Hypomethylated	Hypomethylated	Concordant
cg10888031	chr1	3022235	3022236	ACTRT2	Hypomethylated	Hypomethylated	Concordant
cg06169627	chr1	3022255	3022256	ACTRT2	Hypomethylated	Hypomethylated	Concordant
cg07795402	chr1	3022390	3022391	ACTRT2	Hypomethylated	Hypomethylated	Concordant
cg13947317	chr1	3022899	3022900	ACTRT2	Hypomethylated	Hypomethylated	Concordant
cg27531496	chr1	3027327	3027328	NA	Hypomethylated	Hypomethylated	Concordant
cg10528457	chr1	3030367	3030368	NA	Hypomethylated	Hypomethylated	Concordant
cg06201717	chr1	3033069	3033070	NA	Hypomethylated	Hypomethylated	Concordant
cg24150662	chr1	3033109	3033110	NA	Hypomethylated	Hypomethylated	Concordant
cg13491144	chr1	3037544	3037545	NA	Hypomethylated	Hypomethylated	Concordant
cg06792538	chr1	3037686	3037687	NA	Hypomethylated	Hypomethylated	Concordant
cg04484550	chr1	3063599	3063600	LINC00982	Hypermethylated	Hypermethylated	Concordant
cg01514538	chr1	3063816	3063817	LINC00982	Hypermethylated	Hypermethylated	Concordant
cg12050271	chr1	3063835	3063836	LINC00982	Hypermethylated	Hypermethylated	Concordant
cg03969902	chr1	3063982	3063983	LINC00982	Hypermethylated	Hypermethylated	Concordant
cg05346286	chr1	3064034	3064035	LINC00982	Hypermethylated	Hypermethylated	Concordant
cg10802480	chr1	3067691	3067692	LINC00982;PRDM16	Hypermethylated	Hypermethylated	Concordant
cg12140144	chr1	3067711	3067712	LINC00982;PRDM16	Hypermethylated	Hypermethylated	Concordant
cg11229543	chr1	3067881	3067882	LINC00982;PRDM16	Hypermethylated	Hypermethylated	Concordant
cg07363855	chr1	3067906	3067907	LINC00982;PRDM16	Hypermethylated	Hypermethylated	Concordant
cg01908338	chr1	3067961	3067962	LINC00982;PRDM16	Hypermethylated	Hypermethylated	Concordant
cg05303132	chr1	3068067	3068068	LINC00982;PRDM16	Hypermethylated	Hypermethylated	Concordant
cg04241652	chr1	3068266	3068267	LINC00982;PRDM16	Hypermethylated	Hypermethylated	Concordant
cg07534194	chr1	3070783	3070784	PRDM16	Hypermethylated	Hypermethylated	Concordant
cg17001566	chr1	3073926	3073927	PRDM16	Hypermethylated	Hypermethylated	Concordant
cg25008795	chr1	3075850	3075851	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg16372810	chr1	3076076	3076077	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg17890044	chr1	3077808	3077809	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg00806481	chr1	3080086	3080087	PRDM16	Hypomethylated	Hypermethylated	Discordant
cg22506548	chr1	3080385	3080386	PRDM16	Hypomethylated	Hypermethylated	Discordant
cg10770533	chr1	3080978	3080979	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg07922619	chr1	3081178	3081179	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg04493316	chr1	3082632	3082633	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg04674248	chr1	3082712	3082713	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg10572807	chr1	3083022	3083023	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg07348768	chr1	3083377	3083378	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg11837181	chr1	3084438	3084439	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg21107944	chr1	3084536	3084537	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg24678113	chr1	3089902	3089903	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg09509365	chr1	3090191	3090192	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg27564383	chr1	3091137	3091138	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg08882612	chr1	3091204	3091205	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg22226775	chr1	3091469	3091470	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg06724693	chr1	3094332	3094333	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg21681320	chr1	3094480	3094481	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg12599275	chr1	3094710	3094711	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg10520026	chr1	3099729	3099730	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg12701603	chr1	3107413	3107414	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg21604357	chr1	3110907	3110908	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg12905252	chr1	3112249	3112250	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg01046951	chr1	3112313	3112314	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg10021614	chr1	3112346	3112347	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg26407161	chr1	3112506	3112507	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg20632748	chr1	3114896	3114897	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg06976533	chr1	3116401	3116402	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg10097755	chr1	3117672	3117673	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg21394778	chr1	3120538	3120539	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg07168837	chr1	3120711	3120712	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg13907655	chr1	3121148	3121149	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg22712408	chr1	3123098	3123099	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg11684115	chr1	3125521	3125522	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg10146008	chr1	3125746	3125747	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg23273418	chr1	3125895	3125896	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg21383687	chr1	3128488	3128489	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg22949832	chr1	3130778	3130779	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg12394168	chr1	3131113	3131114	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg04134748	chr1	3135611	3135612	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg15121959	chr1	3136302	3136303	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg07367222	chr1	3137020	3137021	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg24642064	chr1	3140387	3140388	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg05343184	chr1	3141587	3141588	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg03226435	chr1	3141635	3141636	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg19243842	chr1	3141957	3141958	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg09221035	chr1	3142953	3142954	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg24300981	chr1	3143062	3143063	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg13392571	chr1	3143210	3143211	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg25745135	chr1	3143256	3143257	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg16926445	chr1	3147875	3147876	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg22009660	chr1	3151796	3151797	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg02481237	chr1	3154039	3154040	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg12096707	chr1	3157150	3157151	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg22029284	chr1	3160792	3160793	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg07622451	chr1	3163322	3163323	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg01203812	chr1	3164514	3164515	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg17445936	chr1	3173781	3173782	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg25411239	chr1	3178295	3178296	PRDM16	Hypomethylated	Hypomethylated	Concordant
cg08247866	chr1	3179965	3179966	PRDM16	Hypomethylated	Hypomethylated	Concordant
